year	rep	scenario	meanG	varG	accSel
49	1	GS_early_selection_extreme	5200.32703032402	86716.284646659	0.365567467906316
50	1	GS_early_selection_extreme	5217.10673708422	81392.7241251682	0.370156612866957
51	1	GS_early_selection_extreme	5295.97330815027	96595.5481672281	0.387330853679376
52	1	GS_early_selection_extreme	5340.01278057143	90486.334880438	0.397333859694501
53	1	GS_early_selection_extreme	5388.25434030914	79795.4385310677	0.279663164335771
54	1	GS_early_selection_extreme	5418.263857948	73229.6066371403	0.26834860760212
55	1	GS_early_selection_extreme	5440.35067446579	74578.9217552683	0.085957528343099
56	1	GS_early_selection_extreme	5411.59862831679	74680.6329030119	0.105902794059298
57	1	GS_early_selection_extreme	5556.62822243176	85957.7737805045	0.150798989000448
58	1	GS_early_selection_extreme	5564.56201993069	99380.1382776479	0.589190199052507
59	1	GS_early_selection_extreme	5602.73119077705	57251.0145584257	0.518028906911839
60	1	GS_early_selection_extreme	5577.18209423603	122176.228424396	0.278736779315786
61	1	GS_early_selection_extreme	5681.9250425591	88528.8306764776	0.490293091838747
62	1	GS_early_selection_extreme	5785.36266268303	79809.1030287578	0.403876826578859
63	1	GS_early_selection_extreme	5703.8598994565	98786.9892891466	0.273452652598941
64	1	GS_early_selection_extreme	5930.63685890774	67799.2236692571	0.192105937133532
65	1	GS_early_selection_extreme	5858.9336863611	87507.1271566714	0.182470175385396
66	1	GS_early_selection_extreme	5899.91924957463	76901.9519983917	0.466036390798213
67	1	GS_early_selection_extreme	5927.2226586574	82997.8842219412	0.465157744453557
68	1	GS_early_selection_extreme	6007.94546215976	77197.6034074838	0.0507395127080812
69	1	GS_early_selection_extreme	6059.54304339113	62639.1241602971	0.294856291665873
70	1	GS_early_selection_extreme	5987.32109413219	73498.6936969199	0.481739463279713
71	1	GS_early_selection_extreme	6132.65801306578	76029.7569900708	0.585762941718285
72	1	GS_early_selection_extreme	6132.80154457427	62355.0327247071	0.67910869673983
73	1	GS_early_selection_extreme	6270.91994173474	45565.9305750076	0.644477538158619
74	1	GS_early_selection_extreme	6331.57148141661	46145.8353079982	0.563443508407636
75	1	GS_early_selection_extreme	6379.51069998991	40025.6564527144	0.598906797250949
76	1	GS_early_selection_extreme	6438.95169315471	44430.3980655659	0.356817835379942
77	1	GS_early_selection_extreme	6480.21283868592	43662.1100036815	0.457268678570458
78	1	GS_early_selection_extreme	6508.81205177811	36271.6490895723	0.466271540279587
79	1	GS_early_selection_extreme	6509.50204163575	34534.0746127158	0.306690520246164
80	1	GS_early_selection_extreme	6504.88788667555	28527.8874583267	0.163463943416851
1	2	Burn_in	2491.52321842298	176999.061635215	0.394404691612826
2	2	Burn_in	2703.69541864468	187099.029694688	0.478292765674892
3	2	Burn_in	2657.04036713351	194563.639204421	0.422464394724593
4	2	Burn_in	2795.09076286695	199386.936215791	0.30001818186755
5	2	Burn_in	2813.19251953994	137708.783573232	0.434778259137675
6	2	Burn_in	2972.59329472221	173066.341042835	0.410434489370449
7	2	Burn_in	3036.76484909113	206755.498423038	0.503077904922242
8	2	Burn_in	2898.2158212695	155924.349357068	0.393610751010603
9	2	Burn_in	3007.32423592443	145811.561387407	0.434598946017774
