id	mother	father	year	rep	scheme
62026	44386	36015	55	1	GS
58937	40008	45578	55	1	GS
65063	52950	54545	55	1	GS
65057	52950	54545	55	1	GS
57897	36015	45578	55	1	GS
63265	52950	49651	55	1	GS
69741	59901	49959	56	1	GS
69898	56678	49441	56	1	GS
69459	58937	49959	56	1	GS
66044	52950	56919	56	1	GS
67108	56919	49441	56	1	GS
68495	58937	49441	56	1	GS
66034	52950	56919	56	1	GS
59903	35893	49959	56	1	GS
62796	49441	35893	56	1	GS
63976	49959	50644	56	1	GS
64248	35893	49441	56	1	GS
66039	52950	56919	56	1	GS
63261	52950	49651	56	1	GS
67467	52950	49441	56	1	GS
68205	56919	49441	56	1	GS
65070	52950	54545	56	1	GS
59900	35893	49959	56	1	GS
68675	40008	49441	56	1	GS
62249	52950	49959	56	1	GS
67455	52950	49441	56	1	GS
54243	44576	36015	56	1	GS
56678	35591	46565	56	1	GS
58937	40008	45578	56	1	GS
52950	36015	42544	56	1	GS
63265	52950	49651	56	1	GS
64066	52950	41629	56	1	GS
60659	49441	35893	56	1	GS
65057	52950	54545	56	1	GS
65063	52950	54545	56	1	GS
61774	49441	40008	56	1	GS
69741	59901	49959	57	1	GS
69898	56678	49441	57	1	GS
59903	35893	49959	57	1	GS
70604	58937	49441	57	1	GS
70508	58943	52679	57	1	GS
69459	58937	49959	57	1	GS
63976	49959	50644	57	1	GS
66044	52950	56919	57	1	GS
66034	52950	56919	57	1	GS
70532	58937	58795	57	1	GS
67108	56919	49441	57	1	GS
63261	52950	49651	57	1	GS
68495	58937	49441	57	1	GS
66039	52950	56919	57	1	GS
64248	35893	49441	57	1	GS
62796	49441	35893	57	1	GS
67467	52950	49441	57	1	GS
62249	52950	49959	57	1	GS
68205	56919	49441	57	1	GS
59900	35893	49959	57	1	GS
63265	52950	49651	57	1	GS
65070	52950	54545	57	1	GS
68675	40008	49441	57	1	GS
54243	44576	36015	57	1	GS
67455	52950	49441	57	1	GS
56678	35591	46565	57	1	GS
52950	36015	42544	57	1	GS
61774	49441	40008	57	1	GS
58937	40008	45578	57	1	GS
65063	52950	54545	57	1	GS
69898	56678	49441	58	1	GS
69741	59901	49959	58	1	GS
70508	58943	52679	58	1	GS
70604	58937	49441	58	1	GS
64248	35893	49441	58	1	GS
71951	54243	49651	58	1	GS
70532	58937	58795	58	1	GS
59903	35893	49959	58	1	GS
68495	58937	49441	58	1	GS
63976	49959	50644	58	1	GS
69459	58937	49959	58	1	GS
67108	56919	49441	58	1	GS
62796	49441	35893	58	1	GS
71970	54243	49651	58	1	GS
66044	52950	56919	58	1	GS
63261	52950	49651	58	1	GS
71519	57897	59903	58	1	GS
67467	52950	49441	58	1	GS
66034	52950	56919	58	1	GS
65070	52950	54545	58	1	GS
59900	35893	49959	58	1	GS
56678	35591	46565	58	1	GS
68205	56919	49441	58	1	GS
68675	40008	49441	58	1	GS
67455	52950	49441	58	1	GS
54243	44576	36015	58	1	GS
66039	52950	56919	58	1	GS
63265	52950	49651	58	1	GS
58937	40008	45578	58	1	GS
61774	49441	40008	58	1	GS
69741	59901	49959	59	1	GS
72352	58795	35893	59	1	GS
69898	56678	49441	59	1	GS
72285	58943	60659	59	1	GS
70508	58943	52679	59	1	GS
70532	58937	58795	59	1	GS
72772	59903	56678	59	1	GS
69459	58937	49959	59	1	GS
71951	54243	49651	59	1	GS
70604	58937	49441	59	1	GS
64248	35893	49441	59	1	GS
59903	35893	49959	59	1	GS
56678	35591	46565	59	1	GS
68495	58937	49441	59	1	GS
71970	54243	49651	59	1	GS
62796	49441	35893	59	1	GS
63976	49959	50644	59	1	GS
59900	35893	49959	59	1	GS
58937	40008	45578	59	1	GS
71519	57897	59903	59	1	GS
67108	56919	49441	59	1	GS
68675	40008	49441	59	1	GS
54243	44576	36015	59	1	GS
67467	52950	49441	59	1	GS
63261	52950	49651	59	1	GS
66044	52950	56919	59	1	GS
68205	56919	49441	59	1	GS
65070	52950	54545	59	1	GS
63265	52950	49651	59	1	GS
61774	49441	40008	59	1	GS
73945	58795	59901	60	1	GS
72352	58795	35893	60	1	GS
69741	59901	49959	60	1	GS
72285	58943	60659	60	1	GS
69898	56678	49441	60	1	GS
73939	58795	59901	60	1	GS
70508	58943	52679	60	1	GS
73936	58795	59901	60	1	GS
71951	54243	49651	60	1	GS
72772	59903	56678	60	1	GS
70532	58937	58795	60	1	GS
69459	58937	49959	60	1	GS
70604	58937	49441	60	1	GS
63261	52950	49651	60	1	GS
56678	35591	46565	60	1	GS
59903	35893	49959	60	1	GS
64248	35893	49441	60	1	GS
71970	54243	49651	60	1	GS
59900	35893	49959	60	1	GS
66044	52950	56919	60	1	GS
67467	52950	49441	60	1	GS
71519	57897	59903	60	1	GS
63265	52950	49651	60	1	GS
67108	56919	49441	60	1	GS
68495	58937	49441	60	1	GS
58937	40008	45578	60	1	GS
65070	52950	54545	60	1	GS
62796	49441	35893	60	1	GS
54243	44576	36015	60	1	GS
63976	49959	50644	60	1	GS
74861	58943	54243	61	1	GS
72285	58943	60659	61	1	GS
70508	58943	52679	61	1	GS
74877	58943	58795	61	1	GS
74163	64248	63261	61	1	GS
72352	58795	35893	61	1	GS
62796	49441	35893	61	1	GS
63261	52950	49651	61	1	GS
71951	54243	49651	61	1	GS
63265	52950	49651	61	1	GS
64248	35893	49441	61	1	GS
67467	52950	49441	61	1	GS
65070	52950	54545	61	1	GS
70532	58937	58795	61	1	GS
70604	58937	49441	61	1	GS
66044	52950	56919	61	1	GS
56678	35591	46565	61	1	GS
69898	56678	49441	61	1	GS
73945	58795	59901	61	1	GS
71970	54243	49651	61	1	GS
58937	40008	45578	61	1	GS
71519	57897	59903	61	1	GS
73939	58795	59901	61	1	GS
68495	58937	49441	61	1	GS
59900	35893	49959	61	1	GS
72772	59903	56678	61	1	GS
54243	44576	36015	61	1	GS
69459	58937	49959	61	1	GS
73936	58795	59901	61	1	GS
67108	56919	49441	61	1	GS
75060	62796	58943	62	1	GS
72285	58943	60659	62	1	GS
75056	62796	58943	62	1	GS
74163	64248	63261	62	1	GS
63261	52950	49651	62	1	GS
74861	58943	54243	62	1	GS
75055	62796	58943	62	1	GS
72352	58795	35893	62	1	GS
70508	58943	52679	62	1	GS
71951	54243	49651	62	1	GS
74877	58943	58795	62	1	GS
63265	52950	49651	62	1	GS
73945	58795	59901	62	1	GS
66044	52950	56919	62	1	GS
62796	49441	35893	62	1	GS
67467	52950	49441	62	1	GS
71519	57897	59903	62	1	GS
73939	58795	59901	62	1	GS
59900	35893	49959	62	1	GS
72772	59903	56678	62	1	GS
64248	35893	49441	62	1	GS
71970	54243	49651	62	1	GS
73936	58795	59901	62	1	GS
69898	56678	49441	62	1	GS
56678	35591	46565	62	1	GS
65070	52950	54545	62	1	GS
54243	44576	36015	62	1	GS
69459	58937	49959	62	1	GS
70532	58937	58795	62	1	GS
58937	40008	45578	62	1	GS
75060	62796	58943	63	1	GS
72285	58943	60659	63	1	GS
72352	58795	35893	63	1	GS
74861	58943	54243	63	1	GS
74163	64248	63261	63	1	GS
75056	62796	58943	63	1	GS
76564	63261	59903	63	1	GS
70508	58943	52679	63	1	GS
63261	52950	49651	63	1	GS
75055	62796	58943	63	1	GS
66044	52950	56919	63	1	GS
76563	63261	59903	63	1	GS
76566	63261	59903	63	1	GS
63265	52950	49651	63	1	GS
74877	58943	58795	63	1	GS
62796	49441	35893	63	1	GS
71951	54243	49651	63	1	GS
65070	52950	54545	63	1	GS
73945	58795	59901	63	1	GS
72772	59903	56678	63	1	GS
64248	35893	49441	63	1	GS
59900	35893	49959	63	1	GS
73939	58795	59901	63	1	GS
54243	44576	36015	63	1	GS
67467	52950	49441	63	1	GS
71970	54243	49651	63	1	GS
73936	58795	59901	63	1	GS
69898	56678	49441	63	1	GS
56678	35591	46565	63	1	GS
71519	57897	59903	63	1	GS
75060	62796	58943	64	1	GS
74861	58943	54243	64	1	GS
76566	63261	59903	64	1	GS
70508	58943	52679	64	1	GS
77517	63261	59900	64	1	GS
77444	62796	63265	64	1	GS
66044	52950	56919	64	1	GS
75056	62796	58943	64	1	GS
74163	64248	63261	64	1	GS
75055	62796	58943	64	1	GS
76564	63261	59903	64	1	GS
63261	52950	49651	64	1	GS
65070	52950	54545	64	1	GS
59900	35893	49959	64	1	GS
62796	49441	35893	64	1	GS
76563	63261	59903	64	1	GS
77434	62796	63265	64	1	GS
72285	58943	60659	64	1	GS
73936	58795	59901	64	1	GS
63265	52950	49651	64	1	GS
71519	57897	59903	64	1	GS
71951	54243	49651	64	1	GS
71970	54243	49651	64	1	GS
54243	44576	36015	64	1	GS
74877	58943	58795	64	1	GS
73945	58795	59901	64	1	GS
67467	52950	49441	64	1	GS
64248	35893	49441	64	1	GS
72352	58795	35893	64	1	GS
73939	58795	59901	64	1	GS
78616	65070	68675	65	1	GS
78380	62796	68675	65	1	GS
78385	62796	68675	65	1	GS
75060	62796	58943	65	1	GS
76566	63261	59903	65	1	GS
66044	52950	56919	65	1	GS
70508	58943	52679	65	1	GS
77517	63261	59900	65	1	GS
77444	62796	63265	65	1	GS
74861	58943	54243	65	1	GS
65070	52950	54545	65	1	GS
75055	62796	58943	65	1	GS
74163	64248	63261	65	1	GS
75056	62796	58943	65	1	GS
62796	49441	35893	65	1	GS
63261	52950	49651	65	1	GS
76563	63261	59903	65	1	GS
76564	63261	59903	65	1	GS
59900	35893	49959	65	1	GS
77434	62796	63265	65	1	GS
71519	57897	59903	65	1	GS
74877	58943	58795	65	1	GS
73936	58795	59901	65	1	GS
54243	44576	36015	65	1	GS
72285	58943	60659	65	1	GS
63265	52950	49651	65	1	GS
73939	58795	59901	65	1	GS
72352	58795	35893	65	1	GS
71951	54243	49651	65	1	GS
71970	54243	49651	65	1	GS
75060	62796	58943	66	1	GS
79318	66044	52950	66	1	GS
78385	62796	68675	66	1	GS
79660	66039	65070	66	1	GS
78380	62796	68675	66	1	GS
79665	66039	65070	66	1	GS
78616	65070	68675	66	1	GS
70508	58943	52679	66	1	GS
76566	63261	59903	66	1	GS
66044	52950	56919	66	1	GS
77517	63261	59900	66	1	GS
75055	62796	58943	66	1	GS
74861	58943	54243	66	1	GS
75056	62796	58943	66	1	GS
71519	57897	59903	66	1	GS
77444	62796	63265	66	1	GS
62796	49441	35893	66	1	GS
65070	52950	54545	66	1	GS
73936	58795	59901	66	1	GS
59900	35893	49959	66	1	GS
54243	44576	36015	66	1	GS
76564	63261	59903	66	1	GS
76563	63261	59903	66	1	GS
77434	62796	63265	66	1	GS
63261	52950	49651	66	1	GS
72285	58943	60659	66	1	GS
63265	52950	49651	66	1	GS
74163	64248	63261	66	1	GS
71970	54243	49651	66	1	GS
71951	54243	49651	66	1	GS
76566	63261	59903	67	1	GS
79660	66039	65070	67	1	GS
79318	66044	52950	67	1	GS
80261	70508	66044	67	1	GS
80279	70508	54243	67	1	GS
79665	66039	65070	67	1	GS
80274	70508	54243	67	1	GS
78616	65070	68675	67	1	GS
73936	58795	59901	67	1	GS
78380	62796	68675	67	1	GS
70508	58943	52679	67	1	GS
65070	52950	54545	67	1	GS
77517	63261	59900	67	1	GS
78385	62796	68675	67	1	GS
66044	52950	56919	67	1	GS
76564	63261	59903	67	1	GS
59900	35893	49959	67	1	GS
71519	57897	59903	67	1	GS
76563	63261	59903	67	1	GS
75060	62796	58943	67	1	GS
54243	44576	36015	67	1	GS
74163	64248	63261	67	1	GS
77444	62796	63265	67	1	GS
74861	58943	54243	67	1	GS
75055	62796	58943	67	1	GS
75056	62796	58943	67	1	GS
71970	54243	49651	67	1	GS
62796	49441	35893	67	1	GS
63265	52950	49651	67	1	GS
77434	62796	63265	67	1	GS
81939	66044	68205	68	1	GS
78616	65070	68675	68	1	GS
81072	69741	62796	68	1	GS
79660	66039	65070	68	1	GS
80261	70508	66044	68	1	GS
79318	66044	52950	68	1	GS
81082	69741	62796	68	1	GS
78385	62796	68675	68	1	GS
78380	62796	68675	68	1	GS
80279	70508	54243	68	1	GS
70508	58943	52679	68	1	GS
75060	62796	58943	68	1	GS
65070	52950	54545	68	1	GS
79665	66039	65070	68	1	GS
75055	62796	58943	68	1	GS
74861	58943	54243	68	1	GS
80274	70508	54243	68	1	GS
66044	52950	56919	68	1	GS
62796	49441	35893	68	1	GS
75056	62796	58943	68	1	GS
77444	62796	63265	68	1	GS
77517	63261	59900	68	1	GS
54243	44576	36015	68	1	GS
71970	54243	49651	68	1	GS
73936	58795	59901	68	1	GS
71519	57897	59903	68	1	GS
74163	64248	63261	68	1	GS
59900	35893	49959	68	1	GS
77434	62796	63265	68	1	GS
76566	63261	59903	68	1	GS
82802	68495	65070	69	1	GS
78616	65070	68675	69	1	GS
79660	66039	65070	69	1	GS
81939	66044	68205	69	1	GS
78380	62796	68675	69	1	GS
70508	58943	52679	69	1	GS
65070	52950	54545	69	1	GS
80279	70508	54243	69	1	GS
82750	56678	66044	69	1	GS
78385	62796	68675	69	1	GS
79318	66044	52950	69	1	GS
82511	69459	68675	69	1	GS
80261	70508	66044	69	1	GS
75055	62796	58943	69	1	GS
75060	62796	58943	69	1	GS
80274	70508	54243	69	1	GS
74861	58943	54243	69	1	GS
75056	62796	58943	69	1	GS
62796	49441	35893	69	1	GS
79665	66039	65070	69	1	GS
66044	52950	56919	69	1	GS
81072	69741	62796	69	1	GS
74163	64248	63261	69	1	GS
81082	69741	62796	69	1	GS
54243	44576	36015	69	1	GS
71970	54243	49651	69	1	GS
77444	62796	63265	69	1	GS
77434	62796	63265	69	1	GS
77517	63261	59900	69	1	GS
71519	57897	59903	69	1	GS
83519	70508	65070	70	1	GS
